,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5)
 iteration 0,1,0,1,0.752,0.555584,1.440022528,0.752,-0.404416,0.711962816,1.666068319,0,0.140497842,0.555584,0.400022528,-0.396523219,1.24027031,1.982294085,1.529976916,0.400022528,0.316420072,0.210604697,0.00314395,1.530288167,2.363240246,0.276817842,0,0,0,0.211988228,1.852673109,0.179239731,0.101957867,0.040750631,-0.007725501,0.127129852,1.439902958
 iteration 1,1.99,0,1.965448,1.75602358,1.405773491,2.422231648,1.570490816,0.243393773,1.705671563,2.724572923,0,0.946226038,1.298433773,1.059287365,0.578548088,2.37138513,3.225882666,2.900327571,1.059287365,0.924674908,0.713192392,1.100241599,2.857783774,3.813940814,0.853765526,0,0,0,1.467766222,3.309364618,0.664020859,0.506092178,0.36889363,0.250634106,1.289834017,2.851260738
 iteration 2,2.9701,0,2.925060502,2.720226972,2.253591337,3.381313941,2.491893774,1.102545302,2.655532622,3.687050211,0,1.865353397,2.166994262,1.87267172,1.523343465,3.350317154,4.255734163,3.995254027,1.87267172,1.69915655,1.443628441,2.079290995,3.913971406,4.9293045,1.612201577,0,0,0,2.572801307,4.44634359,1.352704839,1.131548484,0.929227338,1.006361318,2.600599402,4.021238277
 iteration 3,3.940399,0,3.875531378,3.663741292,3.084788646,4.318144797,3.436645477,2.016369703,3.594059423,4.622512957,0,2.789310652,3.08175015,2.754357117,2.450857816,4.284982868,5.202507283,4.963917062,2.754357117,2.557051407,2.360077288,3.014837252,4.866855801,5.901242183,2.460666749,0,0,0,3.54944514,5.425366893,2.154789144,1.890639602,1.641373578,2.119304497,3.753675125,5.026607006
 iteration 4,4.90099501,0,4.815808846,4.594459776,3.904206219,5.23398343,4.381436551,2.942399703,4.523046959,5.544222575,0,3.697598386,4.007872368,3.660064359,3.368812867,5.199584974,6.12657247,5.887896161,3.660064359,3.454764995,3.268590413,3.923480475,5.784892939,6.820141137,3.345982989,0,0,0,4.470141599,6.341207121,3.010515973,2.718675292,2.438182799,3.142721844,4.755230605,5.950637963
 iteration 5,5.85198506,0,5.745737199,5.514353415,4.71388432,6.130153784,5.319831957,3.866950852,5.442330031,6.455036612,0,4.587206277,4.932432646,4.570854761,4.277598918,6.102401964,7.03928491,6.793209342,4.570854761,4.356222043,4.167548893,4.818394097,6.687328637,7.717461306,4.242621603,0,0,0,5.366687804,7.231310952,3.887346245,3.577075933,3.275804334,4.037272102,5.674975189,6.838133976
 iteration 6,6.793465209,0,6.665372833,6.423944896,5.514438905,7.007896473,6.249915944,4.785276183,6.35176625,7.355637841,0,5.458520849,5.850758881,5.477581637,5.177017247,6.995079084,7.940154203,7.685158523,5.477581637,5.253112579,5.05727682,5.702818575,7.577209837,8.600817993,5.138283734,0,0,0,6.248352068,8.10633449,4.768498513,4.444911857,4.128979449,4.854270288,6.556211508,7.706257119
 iteration 7,7.725530557,0,7.574817739,7.32343434,6.306089449,7.868338613,7.171104222,5.695537468,7.251322005,8.246249022,0,6.31251131,6.761020255,6.377066769,6.066889467,7.877726549,8.829327751,8.565139254,6.377066769,6.142636897,5.93767655,6.577133179,8.455444745,9.4721603,6.028017061,0,0,0,7.117826207,8.969142867,5.646317139,5.311975722,4.984622702,5.633092272,7.417085372,8.560772057
 iteration 8,8.648275252,0,8.474182605,8.212951276,7.088960266,8.71249677,8.083231527,6.597107189,8.141044888,9.126999507,0,7.150174681,7.662589984,7.268221931,6.947156451,8.750455546,9.707071464,9.433693255,7.268221931,7.023815719,6.80864185,7.441505365,9.3224535,10.33215182,6.909979147,0,0,0,7.975993111,9.820632707,6.517574478,6.173690179,5.836517917,6.392007749,8.264046239,9.403598115
 iteration 9,9.561792499,0,9.363578877,9.092609598,7.863153868,9.541286855,8.986293192,7.489811791,9.021018789,9.998000613,0,7.972433776,8.555294588,8.150705041,7.817861779,9.613384877,10.57366133,10.29115844,8.150705041,7.896333734,7.6701926,8.296072786,10.17853401,11.18115538,7.783534263,0,0,0,8.823264894,10.66122093,7.380994338,7.028138171,6.681915979,7.137933388,9.099293509,10.23547324
 iteration 10,10.46617457,0,10.24311713,9.962519178,8.628767422,10.35553456,9.880344656,8.373644134,9.891341597,10.85936007,0,8.780125261,9.439126931,9.024445368,8.679087739,10.46663533,11.42936136,11.13781327,9.024445368,8.76012989,8.522401554,9.140967804,11.02394439,12.01945298,8.648500516,0,0,0,9.659928055,11.49120051,8.236116527,7.874575647,7.519683276,7.873295865,9.923657744,11.05678477
 iteration 11,11.36151283,0,11.11290676,10.8227882,9.385896229,11.15598502,10.76546305,9.248657597,10.7521159,11.71118438,0,9.574004939,10.31414039,9.889472142,9.530930436,11.31032691,12.27442008,11.97391006,9.889472142,9.615237432,9.365361223,9.976320171,11.85892224,12.84729591,9.504865039,0,0,0,10.48622814,12.3108238,9.082811636,8.712752794,8.349397501,8.598993224,10.73755224,11.86781181
 iteration 12,12.2478977,0,11.97305596,11.6735236,10.13463442,11.94331146,11.64173292,10.11492732,11.60344537,12.55357904,0,10.37898974,11.18041012,10.74585106,10.37349036,12.14457773,13.10907099,12.79968362,10.74585106,10.46172406,10.19917074,10.80225677,12.68368994,13.66491702,10.35267732,0,0,0,11.30239057,13.12032251,9.921081313,9.542621453,9.170936896,9.315441706,11.5412613,12.66879366
 iteration 13,13.12541872,0,12.82367169,12.51483114,10.87507507,12.71812295,12.50924099,10.97253593,12.44543336,13.38664849,0,11.19238939,12.03801872,11.59366076,11.20686883,12.96950365,13.93353376,13.6153542,11.59366076,11.29966964,11.02393083,11.61890135,13.49845676,14.47253453,11.19200943,0,0,0,12.10862635,13.91991329,10.75097805,10.36421366,9.984302724,10.02290768,12.33502346,13.45994922
 iteration 14,13.99416454,0,13.66485976,13.34681542,11.60731024,13.48097126,13.36807423,11.82156826,13.27818239,14.21049607,0,11.99945363,12.88705106,12.43298415,12.03116674,13.78521823,14.74801541,14.42112919,12.43298415,12.12915803,11.83974194,12.42637451,14.3034202,15.27035384,12.02294131,0,0,0,12.90513422,14.70979994,11.5725735,11.17759252,10.78954521,10.72160644,13.11905539,14.24148301
 iteration 15,14.85422289,0,14.49672477,14.16957986,12.33143096,14.23235706,14.21831914,12.66210944,14.10179397,15.02522396,0,12.79742614,13.72759224,13.26390513,12.84648403,14.59183282,15.55271145,15.21720429,13.26390513,12.95027392,12.64670355,13.22479385,15.09876709,16.05856877,12.84555524,0,0,0,13.69210201,15.49017476,12.38594619,11.9828327,11.58673345,11.41173091,13.89355913,15.01358758
 iteration 16,15.70568066,0,15.31937018,14.98322676,13.04752726,14.97273534,15.06006151,13.49424416,14.91636853,15.83093325,0,13.58591617,14.55972696,14.08650748,13.65291956,15.3894566,16.34780689,16.00376459,14.08650748,13.76310181,13.44491396,14.01427405,15.8846745,16.83736264,13.65993386,0,0,0,14.4697076,16.26121956,13.19117673,12.78001284,12.37594339,12.09346019,14.65872477,15.77644482
 iteration 17,16.54862385,0,16.13289828,15.78785728,13.75568816,15.70252031,15.89338635,14.31805641,15.72200541,16.62772389,0,14.36499296,15.3835392,14.90087437,14.45057105,16.17819674,17.13347723,16.78098556,14.90087437,14.56772554,14.23447023,14.79492715,16.66131066,17.60690922,14.4661594,0,0,0,15.23811983,17.0231067,13.98834602,13.56921259,13.15725316,12.77504962,15.41473191,16.53022701
