,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5),
 iteration 0,1.0,0.0,1.0,0.752,0.555584,1.440022528,0.752,-0.404416,0.711962816,1.6660683187840002,0.0,0.14049784217600014,0.555584,0.40002252800000004,-0.3965232194559999,1.2402703097507841,1.982294085322621,1.5299769155755159,0.40002252800000004,0.3164200724480001,0.210604697378816,0.0031439503631238708,1.5302881666614654,2.3632402456352937,0.2768178421760001,0.0,0.0,0.0,0.21198822799588068,1.8526731091147448,0.17923973100339205,0.1019578669546865,0.04075063062811172,-0.007725500542535513,0.12712985201902646,1.4399029577687614,
 iteration 1,1.99,0.0,1.965448,1.756023579559616,1.4057734910112158,2.4222316480581103,1.570490816,0.24339377254399985,1.705671563041472,2.724572923311938,0.0,0.9462260380128713,1.2984337725439998,1.0592873652991999,0.5785480877587943,2.371385130398115,3.225882666221732,2.900327570607482,1.0592873652991999,0.9246749075220898,0.7131923917979979,1.100241598562794,2.8577837742232224,3.8139408138871187,0.8537655260678144,0.0,0.0,0.0,1.467766221558744,3.3093646183352736,0.6640208588435588,0.5060921778611264,0.36889362973037826,0.2506341056390376,1.2898340167518973,2.8512607381990818,
 iteration 2,2.9701000000000004,0.0,2.925060502376402,2.7202269716663943,2.253591337169895,3.3813139407995956,2.4918937742658565,1.1025453018650353,2.6555326221746305,3.687050210562955,0.0,1.865353396639828,2.1669942618650353,1.8726717204064156,1.5233434649919557,3.3503171537560155,4.255734163378815,3.9952540274609873,1.8726717204064156,1.6991565496701184,1.4436284409486873,2.0792909950767835,3.913971406483448,4.929304499565788,1.6122015767233084,0.0,0.0,0.0,2.5728013070843985,4.446343590272652,1.3527048393986243,1.1315484840202135,0.9292273380306239,1.0063613177257675,2.600599401713466,4.021238277347282,
 iteration 3,3.9403990000000007,0.0,3.8755313778123472,3.6637412922680848,3.084788645856143,4.318144797192198,3.4366454765369587,2.0163697026221454,3.5940594226327045,4.6225129571626935,0.0,2.789310651910907,3.0817501496621453,2.754357117269996,2.4508578155566774,4.284982867987468,5.202507282862439,4.963917062202703,2.754357117269996,2.5570514071414863,2.360077287740497,3.014837252174245,4.866855801449315,5.901242183065036,2.460666749069052,0.0,0.0,0.0,3.549445139586206,5.4253668932435355,2.154789144281154,1.8906396021066763,1.6413735777985512,2.1193044966119157,3.7536751252477156,5.0266070063057855,
 iteration 4,4.900995010000001,0.0,4.815808845565342,4.594459776381398,3.9042062188338256,5.233983429962798,4.381436550656752,2.9423997032894698,4.523046959072515,5.544222574601353,0.0,3.697598385608896,4.00787236754643,3.660064359013509,3.368812867058529,5.199584973926447,6.126572469603838,5.887896161207745,3.660064359013509,3.454764995367346,3.2685904132169727,3.923480474601708,5.784892939035248,6.820141136764462,3.3459829886543715,0.0,0.0,0.0,4.47014159896606,6.341207121046205,3.0105159729066577,2.7186752917591943,2.4381827994773952,3.1427218443607705,4.755230604691346,5.950637963357311,
 iteration 5,5.851985059900001,0.0,5.745737199260478,5.514353414561592,4.71388431999733,6.1301537837765885,5.319831956581478,3.8669508517805253,5.442330031026105,6.4550366122899,0.0,4.587206277101619,4.932432645541964,4.57085476135294,4.277598918365335,6.102401964342549,7.039284910355718,6.793209341500978,4.57085476135294,4.35622204327395,4.167548892615035,4.8183940970926775,6.687328637153587,7.717461306086663,4.2426216027450945,0.0,0.0,0.0,5.366687803906855,7.231310951990991,3.8873462445760345,3.57707593347254,3.2758043336067764,4.037272101507262,5.674975189430212,6.83813397610283,
 iteration 6,6.793465209301002,0.0,6.665372832582684,6.423944896063784,5.514438905362253,7.007896472975803,6.249915943794232,4.785276183185245,6.351766250157525,7.355637841064813,0.0,5.458520849462956,5.850758880767627,5.477581637226023,5.177017246680049,6.995079083669873,7.940154203093644,7.685158522961342,5.477581637226023,5.253112579137276,5.057276820317365,5.702818574556163,7.577209837033807,8.60081799335431,5.1382837340265395,0.0,0.0,0.0,6.248352067764661,8.106334489692426,4.768498512975828,4.444911857104419,4.128979448880842,4.854270288077947,6.556211507535735,7.70625711871662,
 iteration 7,7.725530557207991,0.0,7.574817738541487,7.323434339900589,6.30608944883213,7.868338612855822,7.171104221879698,5.695537467949437,7.251322004517268,8.246249021913894,0.0,6.312511309575475,6.761020255010093,6.3770667693879615,6.0668894670304025,7.877726548698084,8.829327750944449,8.565139253863254,6.3770667693879615,6.142636896736093,5.937676549546012,6.577133178840286,8.45544474479527,9.472160300136506,6.0280170606925205,0.0,0.0,0.0,7.117826207066106,8.96914286668721,5.646317138706421,5.311975721562161,4.984622702355638,5.633092272488019,7.4170853717691445,8.560772056974363,
 iteration 8,8.648275251635912,0.0,8.474182604690624,8.21295127573461,7.088960265816193,8.71249677037034,8.083231526588728,6.597107188554675,8.141044887751363,9.126999507438672,0.0,7.150174681429252,7.66258998447368,7.268221930649435,6.947156450554484,8.750455545839825,9.707071463918608,9.433693255269516,7.268221930649435,7.023815718613703,6.808641849687097,7.441505365158898,9.322453500287784,10.332151824415462,6.909979147091472,0.0,0.0,0.0,7.9759931105295045,9.820632706681502,6.517574477663036,6.173690179178433,5.836517916975735,6.392007749417477,8.264046238871263,9.403598114980468,
 iteration 9,9.561792499119553,0.0,9.363578877077073,9.092609598179198,7.863153868073728,9.541286855339271,8.986293192101884,7.4898117909459,9.021018789185115,9.998000613123681,0.0,7.972433776351695,8.555294587741882,8.15070504076862,7.817861779108847,9.613384876653674,10.573661334483933,10.29115843980009,8.15070504076862,7.896333734443864,7.6701925999148814,8.296072786229773,10.178534013365157,11.181155382261954,7.783534263412859,0.0,0.0,0.0,8.823264894489094,10.661220925267356,7.38099433765029,7.0281381708963595,6.681915978911113,7.137933388378371,9.099293509267207,10.235473243612267,
